;used;doi;logic;replace on DOI
119;FREIRE KMF 2011 Helgol Mar Res;;FALSO;
120;FREITAS JEP & LOTUFO TMC 2014;;#REF!;
121;FREITAS LUIZ EDUARDO LIMA DE 2006 ;;#REF!;
122;FRENSEL R 2010 ECHINODERMS DURHAM;FRENSEL R 2010 ECHINODERMS: DURHAM;#REF!;FRENSEL R 2010 ECHINODERMS DURHAM
123;GAETA J 2015 CHECKLIST;;#REF!;
124;GALVÃO FILHO HC 2015 MARINE BIODIVERSITY RECORDS;GALVO FILHO HC 2015 ;#REF!;GALVÃO FILHO HC 2015 MARINE BIODIVERSITY RECORDS
125;GARCIA JUNIOR 2015 CHECKLIST;;FALSO;
126;GASPARINI 2001 AQUA;;FALSO;
127;GHERARDI DOUGLAS F M 2004 ;;FALSO;
128;GIGLIO VJ 2014 MARINE BIODIVERSITY RECORDS;GIGLIO VJ 2014 ;FALSO;GIGLIO VJ 2014 MARINE BIODIVERSITY RECORDS
129;GIRALDES BRUNO W 2012 ;;FALSO;
130;GIRALDES BRUNO W 2012 -a;;#REF!;
131;GIRALDES BW 2016 MARINE BIODIVERSITY RECORDS;GIRALDES BW 2016 ;#REF!;GIRALDES BW 2016 MARINE BIODIVERSITY RECORDS
132;GOMES MP 2020 GEO-MAR LETT;;#REF!;
133;GONDIM ANNE ISABELLEY 2011 ;;#REF!;
134;GORMAN D 2020 GLOB CHANG BIOL;;#REF!;
135;GRANDE H 2020 MAR BIODIVERS;;#REF!;
136;HACKRADT CARLOS WERNER 2009 ;;#REF!;
137;HAZIN FHV 1998 MAR FISHER REV;;#REF!;
138;HEISER 2000 AQUA;;#REF!;
139;HORTA PA 2011 ;;#REF!;
140;INAGAKI KY 2020 GLOB CHANGE BIOL;;FALSO;
141;IVAR DO SUL JA 2013;;#REF!;
142;JACOBINA UP 2014 Helgol Mar Res;;#REF!;
143;JARMS GERHARD 2002 ;;FALSO;
144;KIKUCHI & LEAO 1997 ICRS8;;FALSO;
145;KIKUCHI RUY KP 2010 ;;FALSO;
146;KITAHARA 2009 BIOTA NEOTROP;;FALSO;
147;KITAHARA MARCELO VISENTINI 2008 ;;FALSO;
148;KITAHARA MV 2020 MAR BIODIVERS;;#REF!;
149;KLOMPEN AML 2020 MAR DRUGS;;FALSO;
150;KRAJEWSKI JOÃO PAULO 2004 ;;FALSO;
151;KROHLING WERTHER 2006 ;;FALSO;
152;LABOREL 1967;;FALSO;
153;LABOREL 1979;;FALSO;
154;Laborel J ICRS3;;#REF!;
155;LANG JUDITH C 2006 ;;#REF!;
156;LEAL ICS 2013 J MAR BIOL ASSOC UK;;#REF!;
157;LEAL JH 1991 J MAR BIOL ASSOC U K;;#REF!;
158;LEAO & GINSBURG 1997 ICRS8;;FALSO;
159;LEAO 1988 ICRS6;;FALSO;
160;LEAO 2003 LATIN AMERICAN CORAL REEFS;;FALSO;
161;LEAO 2004 ICRS10;;FALSO;
162;LEAO Z 2008 BIOTA NEOTROP;;FALSO;
163;LEAO Z 2010 PANAMJAS;;FALSO;
164;LEAO ZMAN ICRS8;;FALSO;
165;LEITE D 2020 DATA BRIEF;;FALSO;
166;LEITE DSL 2020 OCEAN COASTAL MANAGE;;#REF!;
167;LHULLIER C 2019 ;;#REF!;
168;LIEDKE ANA MR 2020 ;;FALSO;
169;LIMA JS 2020 ESTAR COAST SHELF SCI;;FALSO;
170;LIMA JS 2020 J APPL ICHTHYOL;;#REF!;
171;LIMA JS 2020 OCEAN COASTAL MANAGE;;#REF!;
172;LIMA MLF 2011 MARINE BIODIVERSITY RECORDS;LIMA MLF 2011 ;FALSO;LIMA MLF 2011 MARINE BIODIVERSITY RECORDS
173;LIRA SMA 2010 BIOTA NEOTROP;;FALSO;
174;LOIOLA MIGUEL 2014 ;;FALSO;
175;LOMÔNACO C 2011 MARINE BIODIVERSITY RECORDS;LOMNACO C 2011 ;FALSO;LOMÔNACO C 2011 MARINE BIODIVERSITY RECORDS
176;LONGO 2000 ICRS9;;FALSO;
177;LONGO GO 2012 MARINE BIODIVERSITY RECORDS;LONGO GO 2012 ;FALSO;LONGO GO 2012 MARINE BIODIVERSITY RECORDS
178;LONGO GO 2020 MAR BIODIVERS;;FALSO;
179;LUIZ OJ 2011 BIOL CONS;;FALSO;
180;LUIZ OJ 2012 PROC B;;#REF!;
181;LUSTOSA-COSTA 2020 J. Mar. Biol. Assoc. U.K.;;FALSO;
182;LUZ BLP 2020 ECOL EVOL;;FALSO;
183;MACHADO 2003 AQUA;;FALSO;
184;MACHADO PM 2013 MARINE BIODIVERSITY RECORDS;;FALSO;
185;MAGRIS RA 2013 NATUREZA CONS;;FALSO;
186;MAHIQUES MM 2019 SCI REP;;FALSO;
187;MAIDA 1995 BOL TEC CEPENE;;FALSO;
188;MANTELATTO MC 2016 MARINE BIODIVERSITY RECORDS;MANTELATTO MC 2016 ;FALSO;MANTELATTO MC 2016 MARINE BIODIVERSITY RECORDS
189;MANTELATTO MC 2020 MAR POLLUT BULL;;#REF!;
190;MARCENIUK AP 2013 BIOTA NEOTROP;;FALSO;
191;MARCONI M 2020 OCEAN COASTAL MANAGE;;FALSO;
192;MARTIN 1985 ICRS5;;FALSO;
193;MARTINS L 2012 MARINE BIODIVERSITY RECORDS;MARTINS L 2012 ;#REF!;MARTINS L 2012 MARINE BIODIVERSITY RECORDS
194;MARTINS RF 2020 REG STUD MAR SCI;;FALSO;
195;MEDEIROS DV 2011 MARINE BIODIVERSITY RECORDS;MEDEIROS DV 2011 ;FALSO;MEDEIROS DV 2011 MARINE BIODIVERSITY RECORDS
196;MEDEIROS ELANA CAROLINA DE SOUZA 2014 ;;FALSO;
197;MELO DANIELLE C M 2020 ;;FALSO;
198;MELO KV 2005;;#REF!;
199;MENDES TC 2011 MARINE BIODIVERSITY RECORDS;MENDES TC 2011 ;FALSO;MENDES TC 2011 MARINE BIODIVERSITY RECORDS
200;MENDES TC 2018 MAR BIOL;;#REF!;
201;MENDONÇA P 2011 MARINE BIODIVERSITY RECORDS;MENDONA P 2011 ;FALSO;MENDONÇA P 2011 MARINE BIODIVERSITY RECORDS
202;MENDONCA-NETO JP 2008 NEOTROP ICHTH;;FALSO;
203;MENEZES NATALIA 2014 ;;FALSO;
204;MEURER BC 2010;;#REF!;
205;MIES M 2018 FRONT MAR SCI;;FALSO;
206;MIRANDA RJ 2016 MARINE BIODIVERSITY RECORDS;MIRANDA RJ 2016 ;#REF!;MIRANDA RJ 2016 MARINE BIODIVERSITY RECORDS
207;MIRANDA VINICIUS DA ROCHA 2020 ;;FALSO;
208;MIYASHITA LK 2014 MARINE BIODIVERSITY RECORDS;MIYASHITA LK 2014 ;FALSO;MIYASHITA LK 2014 MARINE BIODIVERSITY RECORDS
209;MONTEIRO-NETO C 2013 MARINE BIODIVERSITY RECORDS;MONTEIRO-NETO C 2013 ;FALSO;MONTEIRO-NETO C 2013 MARINE BIODIVERSITY RECORDS
210;MOREIRA ALP 2014 MARINE BIODIVERSITY RECORDS;MOREIRA ALP 2014 ;#REF!;MOREIRA ALP 2014 MARINE BIODIVERSITY RECORDS
211;MOURA & SAZIMA 2000 ICRS9;;#REF!;
212;MOURA 2000 ICRS9;;#REF!;
213;MOURA CARLOS WN 2002 ;;FALSO;
214;MOURA RL 1999 REV BRAS ZOOL;;#REF!;
215;MOURA RL 2016 SCI ADV;;#REF!;
216;NASCIMENTO SM 2012 MAR POLLUT BULL;;FALSO;
217;NEGROMONTE AURINETE OLIVEIRA 2012 ;;FALSO;
218;NEVES EG 2010 CHECKLIST;;FALSO;
219;NUNES JACC 2019 ETHOL ECOL EVOL;;#REF!;
220;NUNES JOSÉ MARCOS DE CASTRO 2008 ;;FALSO;
221;OLIVEIRA 1995 BOL TEC CIENT CEPENE;;#REF!;
222;OLIVEIRA 2012 ICRS12;;#REF!;
223;OLIVEIRA MV 2015 MARINE BIODIVERSITY RECORDS;OLIVEIRA MV 2015 ;FALSO;OLIVEIRA MV 2015 MARINE BIODIVERSITY RECORDS
224;OLIVEIRA MV 2015 MARINE BIODIVERSITY RECORDS-a;OLIVEIRA MV 2015 -a;FALSO;OLIVEIRA MV 2015 MARINE BIODIVERSITY RECORDS-a
225;OLIVEIRA UDR 2019 PLOS ONE;;FALSO;
226;PADULA V 2012 MARINE BIODIVERSITY RECORDS;PADULA V 2012 ;FALSO;PADULA V 2012 MARINE BIODIVERSITY RECORDS
227;PALUDO DANIELLE 2002 ;;FALSO;
228;PASTRO G 2016 BIOTA NEOTROP;;FALSO;
229;PAULA A F 2005 ;;#REF!;
