"","decimallongitude","decimallatitude","DOI","Year","Paper_ID","Rhodolith.beds","Chemical.ecology","Reproduction","Holobiont","Deep.reefs","Climate.change","Fisheries","Methods","Taxonomy...Systematics","Macroalgae...Herbivory","Habitat.structure","Oceanic.islands","Trophic.ecology...Nursery.habitats","Geomorphology...Paleontology","Oceanography...Productivity","Demography","Anthozoan.biology","Hydrodynamics","Fish.interactions","Invasive.species","Biogeography...Phylogeography","Tourism...Pollution","Distribution.limits","Cytogenetics","Conservation...Management","pts_mpas","data","PAPER_ID","Institution.corresponnding","Region"
"http://dx.doi.org/10.1111/jpy.12917.extracted_coords.4",-34.947,-8.314,"http://dx.doi.org/10.1111/jpy.12917",2019,"COSTA IO 2019 J PHYCOL",0.233541234,0.017325017,0.017325017,0.026334026,0.053361053,0.017325017,0.017325017,0.071379071,0.107415107,0.044352044,0.017325017,0.026334026,0.017325017,0.017325017,0.017325017,0.017325017,0.017325017,0.017325017,0.017325017,0.017325017,0.107415107,0.017325017,0.026334026,0.026334026,0.017325017,NA,"function","COSTA IO 2019 J PHYCOL","UNIV ESTADO BAHIA","Northeastern"
"http://dx.doi.org/10.1111/maec.12563.extracted_coords",-35.086,-8.741,"http://dx.doi.org/10.1111/maec.12563",2019,"BARBOSA DF 2019 MAR ECOL -EVOL PERSP",0.022417582,0.016703297,0.033846154,0.016703297,0.016703297,0.010989011,0.016703297,0.022417582,0.022417582,0.233846154,0.136703297,0.022417582,0.073846154,0.016703297,0.010989011,0.010989011,0.033846154,0.113846154,0.03956044,0.022417582,0.010989011,0.016703297,0.022417582,0.022417582,0.010989011,"¡REA DE PROTE«√O AMBIENTAL DE GUADALUPE","function","BARBOSA DF 2019 MAR ECOL -EVOL PERSP","UNIV FED RURAL PERNAMBUCO UFRPE","Northeastern"
"http://dx.doi.org/10.1007/s00338-019-01822-8.extracted_coords",-29.346,0.917,"http://dx.doi.org/10.1007/s00338-019-01822-8",2019,"NUNES LT 2019 CORAL REEFS",0.047008547,0.031135531,0.015262515,0.015262515,0.094627595,0.015262515,0.015262515,0.023199023,0.023199023,0.031135531,0.047008547,0.158119658,0.126373626,0.023199023,0.015262515,0.015262515,0.031135531,0.047008547,0.054945055,0.015262515,0.015262515,0.039072039,0.023199023,0.023199023,0.039072039,"¡REA DE PROTEÁ„O AMBIENTAL DO ARQUIPÈLAGO DE S„O PEDRO E S„O PAULO","function","NUNES LT 2019 CORAL REEFS",NA,"Foreign"
"http://dx.doi.org/10.1038/s41598-019-50442-3.extracted_coords.1",-39.85,-2.483,"http://dx.doi.org/10.1038/s41598-019-50442-3",2019,"CAPEL KCC 2019 SCI REP",0.020585049,0.013542795,0.013542795,0.041711809,0.034669556,0.020585049,0.020585049,0.027627302,0.013542795,0.027627302,0.034669556,0.034669556,0.013542795,0.027627302,0.034669556,0.027627302,0.069880823,0.013542795,0.020585049,0.32340195,0.06283857,0.020585049,0.020585049,0.013542795,0.027627302,NA,"function","CAPEL KCC 2019 SCI REP",NA,"Foreign"
"http://dx.doi.org/10.1038/s41598-019-50442-3.extracted_coords.2",-48.367,-27.283,"http://dx.doi.org/10.1038/s41598-019-50442-3",2019,"CAPEL KCC 2019 SCI REP",0.020585049,0.013542795,0.013542795,0.041711809,0.034669556,0.020585049,0.020585049,0.027627302,0.013542795,0.027627302,0.034669556,0.034669556,0.013542795,0.027627302,0.034669556,0.027627302,0.069880823,0.013542795,0.020585049,0.32340195,0.06283857,0.020585049,0.020585049,0.013542795,0.027627302,"RESERVA BIOL”GICA MARINHA DO ARVOREDO","function","CAPEL KCC 2019 SCI REP",NA,"Foreign"
"http://dx.doi.org/10.1007/s12526-019-00938-y.extracted_coords.2",-44.348,-23.051,"http://dx.doi.org/10.1007/s12526-019-00938-y",2019,"TAVARES MR 2019 MAR BIODIVERS",0.019358125,0.118695874,0.072338258,0.025980642,0.012735609,0.019358125,0.019358125,0.019358125,0.025980642,0.012735609,0.025980642,0.025980642,0.019358125,0.012735609,0.019358125,0.251146205,0.112073357,0.012735609,0.012735609,0.065715741,0.012735609,0.012735609,0.019358125,0.025980642,0.012735609,"¡REA DE PROTE«√O AMBIENTAL DE TAMOIOS","function","TAVARES MR 2019 MAR BIODIVERS","UNIV FED RIO DE JANEIRO","Southeastern"
"http://dx.doi.org/10.1007/s12526-019-00938-y.extracted_coords.3",-41.904,-22.756,"http://dx.doi.org/10.1007/s12526-019-00938-y",2019,"TAVARES MR 2019 MAR BIODIVERS",0.019358125,0.118695874,0.072338258,0.025980642,0.012735609,0.019358125,0.019358125,0.019358125,0.025980642,0.012735609,0.025980642,0.025980642,0.019358125,0.012735609,0.019358125,0.251146205,0.112073357,0.012735609,0.012735609,0.065715741,0.012735609,0.012735609,0.019358125,0.025980642,0.012735609,NA,"function","TAVARES MR 2019 MAR BIODIVERS","UNIV FED RIO DE JANEIRO","Southeastern"
"http://dx.doi.org/10.1111/jai.13957.extracted_coords",-38.633,-13.117,"http://dx.doi.org/10.1111/jai.13957",2019,"NUNES JACC 2019 J APPL ICHTHYOL",0.030134814,0.019825535,0.030134814,0.019825535,0.133227597,0.019825535,0.05075337,0.061062649,0.071371927,0.019825535,0.030134814,0.05075337,0.030134814,0.019825535,0.019825535,0.019825535,0.019825535,0.019825535,0.030134814,0.019825535,0.091990484,0.030134814,0.061062649,0.05075337,0.019825535,NA,"function","NUNES JACC 2019 J APPL ICHTHYOL","UNIV FED BAHIA","Northeastern"
"http://dx.doi.org/10.1111/jfb.14075.extracted_coords",-29.367,0.917,"http://dx.doi.org/10.1111/jfb.14075",2019,"MENDES TC 2019 J FISH BIOL",0.019358125,0.025980642,0.019358125,0.012735609,0.032603158,0.019358125,0.012735609,0.025980642,0.019358125,0.078960774,0.012735609,0.184921039,0.244523688,0.012735609,0.019358125,0.045848192,0.025980642,0.019358125,0.032603158,0.012735609,0.012735609,0.025980642,0.025980642,0.019358125,0.025980642,"¡REA DE PROTEÁ„O AMBIENTAL DO ARQUIPÈLAGO DE S„O PEDRO E S„O PAULO","function","MENDES TC 2019 J FISH BIOL","UNIV FED SAO PAULO UNIFESP","Southeastern"
"http://dx.doi.org/10.1007/s10750-019-3966-z.extracted_coords.1",-35,-8.55,"http://dx.doi.org/10.1007/s10750-019-3966-z",2019,"DIAS RM 2019 HYDROBIOLOGIA",0.019105078,0.032176973,0.019105078,0.01256913,0.019105078,0.032176973,0.01256913,0.01256913,0.032176973,0.01256913,0.019105078,0.175967823,0.01256913,0.032176973,0.01256913,0.01256913,0.01256913,0.01256913,0.01256913,0.01256913,0.352438411,0.01256913,0.045248869,0.025641026,0.01256913,"¡REA DE PROTEÁ„O AMBIENTAL MARINHA RECIFES SERRAMBI","function","DIAS RM 2019 HYDROBIOLOGIA","UNIV FED RIO DE JANEIRO","Southeastern"
"http://dx.doi.org/10.1007/s10750-019-3966-z.extracted_coords.2",-38.533,-13,"http://dx.doi.org/10.1007/s10750-019-3966-z",2019,"DIAS RM 2019 HYDROBIOLOGIA",0.019105078,0.032176973,0.019105078,0.01256913,0.019105078,0.032176973,0.01256913,0.01256913,0.032176973,0.01256913,0.019105078,0.175967823,0.01256913,0.032176973,0.01256913,0.01256913,0.01256913,0.01256913,0.01256913,0.01256913,0.352438411,0.01256913,0.045248869,0.025641026,0.01256913,"¡REA DE PROTE«√O AMBIENTAL BAÕA DE TODOS OS SANTOS","function","DIAS RM 2019 HYDROBIOLOGIA","UNIV FED RIO DE JANEIRO","Southeastern"
"http://dx.doi.org/10.1007/s10750-019-3966-z.extracted_coords.3",-38.7,-17.95,"http://dx.doi.org/10.1007/s10750-019-3966-z",2019,"DIAS RM 2019 HYDROBIOLOGIA",0.019105078,0.032176973,0.019105078,0.01256913,0.019105078,0.032176973,0.01256913,0.01256913,0.032176973,0.01256913,0.019105078,0.175967823,0.01256913,0.032176973,0.01256913,0.01256913,0.01256913,0.01256913,0.01256913,0.01256913,0.352438411,0.01256913,0.045248869,0.025641026,0.01256913,"PARQUE NACIONAL MARINHO DOS ABROLHOS","function","DIAS RM 2019 HYDROBIOLOGIA","UNIV FED RIO DE JANEIRO","Southeastern"
"http://dx.doi.org/10.1007/s10750-019-3966-z.extracted_coords.4",-40.75,-20.917,"http://dx.doi.org/10.1007/s10750-019-3966-z",2019,"DIAS RM 2019 HYDROBIOLOGIA",0.019105078,0.032176973,0.019105078,0.01256913,0.019105078,0.032176973,0.01256913,0.01256913,0.032176973,0.01256913,0.019105078,0.175967823,0.01256913,0.032176973,0.01256913,0.01256913,0.01256913,0.01256913,0.01256913,0.01256913,0.352438411,0.01256913,0.045248869,0.025641026,0.01256913,NA,"function","DIAS RM 2019 HYDROBIOLOGIA","UNIV FED RIO DE JANEIRO","Southeastern"
"http://dx.doi.org/10.1007/s10750-019-3966-z.extracted_coords.5",-41.983,-22.983,"http://dx.doi.org/10.1007/s10750-019-3966-z",2019,"DIAS RM 2019 HYDROBIOLOGIA",0.019105078,0.032176973,0.019105078,0.01256913,0.019105078,0.032176973,0.01256913,0.01256913,0.032176973,0.01256913,0.019105078,0.175967823,0.01256913,0.032176973,0.01256913,0.01256913,0.01256913,0.01256913,0.01256913,0.01256913,0.352438411,0.01256913,0.045248869,0.025641026,0.01256913,"RESERVA EXTRATIVISTA MARINHA ARRAIAL DO CABO","function","DIAS RM 2019 HYDROBIOLOGIA","UNIV FED RIO DE JANEIRO","Southeastern"
"http://dx.doi.org/10.1007/s10750-019-3966-z.extracted_coords.6",-32.417,-3.833,"http://dx.doi.org/10.1007/s10750-019-3966-z",2019,"DIAS RM 2019 HYDROBIOLOGIA",0.019105078,0.032176973,0.019105078,0.01256913,0.019105078,0.032176973,0.01256913,0.01256913,0.032176973,0.01256913,0.019105078,0.175967823,0.01256913,0.032176973,0.01256913,0.01256913,0.01256913,0.01256913,0.01256913,0.01256913,0.352438411,0.01256913,0.045248869,0.025641026,0.01256913,"¡REA DE PROTE«√O AMBIENTAL DE FERNANDO DE NORONHA","function","DIAS RM 2019 HYDROBIOLOGIA","UNIV FED RIO DE JANEIRO","Southeastern"
"http://dx.doi.org/10.1007/s10750-019-3966-z.extracted_coords.7",-33.817,-3.85,"http://dx.doi.org/10.1007/s10750-019-3966-z",2019,"DIAS RM 2019 HYDROBIOLOGIA",0.019105078,0.032176973,0.019105078,0.01256913,0.019105078,0.032176973,0.01256913,0.01256913,0.032176973,0.01256913,0.019105078,0.175967823,0.01256913,0.032176973,0.01256913,0.01256913,0.01256913,0.01256913,0.01256913,0.01256913,0.352438411,0.01256913,0.045248869,0.025641026,0.01256913,"RESERVA BIOL”GICA ATOL DAS ROCAS","function","DIAS RM 2019 HYDROBIOLOGIA","UNIV FED RIO DE JANEIRO","Southeastern"
"http://dx.doi.org/10.1007/s10750-019-3966-z.extracted_coords.8",-44.25,-0.867,"http://dx.doi.org/10.1007/s10750-019-3966-z",2019,"DIAS RM 2019 HYDROBIOLOGIA",0.019105078,0.032176973,0.019105078,0.01256913,0.019105078,0.032176973,0.01256913,0.01256913,0.032176973,0.01256913,0.019105078,0.175967823,0.01256913,0.032176973,0.01256913,0.01256913,0.01256913,0.01256913,0.01256913,0.01256913,0.352438411,0.01256913,0.045248869,0.025641026,0.01256913,"PARQUE ESTADUAL MARINHO DO PARCEL DE MANUEL LUÌS","function","DIAS RM 2019 HYDROBIOLOGIA","UNIV FED RIO DE JANEIRO","Southeastern"
"http://dx.doi.org/10.1007/s10750-019-3966-z.extracted_coords.13",-29.317,-20.5,"http://dx.doi.org/10.1007/s10750-019-3966-z",2019,"DIAS RM 2019 HYDROBIOLOGIA",0.019105078,0.032176973,0.019105078,0.01256913,0.019105078,0.032176973,0.01256913,0.01256913,0.032176973,0.01256913,0.019105078,0.175967823,0.01256913,0.032176973,0.01256913,0.01256913,0.01256913,0.01256913,0.01256913,0.01256913,0.352438411,0.01256913,0.045248869,0.025641026,0.01256913,NA,"function","DIAS RM 2019 HYDROBIOLOGIA","UNIV FED RIO DE JANEIRO","Southeastern"
"http://dx.doi.org/10.1017/S0025315418000802.extracted_coords",-48.667,-25.5,"http://dx.doi.org/10.1017/S0025315418000802",2019,"SANTOS JNS 2019 J MAR BIOL ASSOC U K",0.011312217,0.011312217,0.01719457,0.011312217,0.01719457,0.023076923,0.028959276,0.01719457,0.164253394,0.011312217,0.023076923,0.011312217,0.01719457,0.011312217,0.034841629,0.046606335,0.040723982,0.01719457,0.01719457,0.01719457,0.087782805,0.034841629,0.193665158,0.023076923,0.023076923,NA,"function","SANTOS JNS 2019 J MAR BIOL ASSOC U K",NA,"Foreign"
